,values,CDF
580,5,0.999999713
581,4,0.999968329
582,5,0.999999713
583,1,0.841344746
584,6,0.999999999
585,2,0.977249868
586,4,0.999968329
587,6,0.999999999
588,3,0.998650102
589,7,1
590,1,0.841344746
591,0,0.5
592,6,0.999999999
593,8,1
594,4,0.999968329
595,7,1
596,2,0.977249868
597,5,0.999999713
598,0,0.5
599,9,1
600,11,1
601,8,1
602,5,0.999999713
603,5,0.999999713
604,0,0.5
605,7,1
606,4,0.999968329
607,3,0.998650102
608,1,0.841344746
609,4,0.999968329
610,2,0.977249868
611,4,0.999968329
612,1,0.841344746
613,10,1
614,5,0.999999713
615,8,1
616,0,0.5
617,4,0.999968329
618,3,0.998650102
619,1,0.841344746
620,10,1
621,1,0.841344746
622,6,0.999999999
623,8,1
624,6,0.999999999
625,2,0.977249868
626,8,1
627,6,0.999999999
628,2,0.977249868
629,1,0.841344746
630,11,1
631,3,0.998650102
632,0,0.5
633,7,1
634,6,0.999999999
635,1,0.841344746
636,0,0.5
637,5,0.999999713
638,8,1
639,7,1
640,4,0.999968329
641,2,0.977249868
642,6,0.999999999
643,5,0.999999713
644,7,1
645,4,0.999968329
646,8,1
647,3,0.998650102
648,4,0.999968329
649,7,1
650,8,1
651,0,0.5
652,5,0.999999713
653,7,1
654,1,0.841344746
655,6,0.999999999
656,3,0.998650102
657,8,1
658,7,1
659,7,1
660,5,0.999999713
661,8,1
662,9,1
663,11,1
664,5,0.999999713
665,0,0.5
666,5,0.999999713
667,6,0.999999999
668,5,0.999999713
669,7,1
670,8,1
671,3,0.998650102
672,4,0.999968329
673,6,0.999999999
674,3,0.998650102
675,5,0.999999713
676,0,0.5
677,2,0.977249868
678,1,0.841344746
679,2,0.977249868
680,3,0.998650102
681,6,0.999999999
682,8,1
683,3,0.998650102
684,2,0.977249868
685,2,0.977249868
686,4,0.999968329
687,4,0.999968329
688,6,0.999999999
689,4,0.999968329
690,0,0.5
691,5,0.999999713
692,9,1
693,9,1
694,3,0.998650102
695,0,0.5
696,12,1
697,5,0.999999713
698,5,0.999999713
699,6,0.999999999
700,0,0.5
701,3,0.998650102
702,0,0.5
703,3,0.998650102
704,5,0.999999713
705,1,0.841344746
706,7,1
707,6,0.999999999
708,2,0.977249868
709,6,0.999999999
710,7,1
711,8,1
712,4,0.999968329
713,5,0.999999713
714,5,0.999999713
715,9,1
716,8,1
717,8,1
718,4,0.999968329
719,6,0.999999999
720,6,0.999999999
721,2,0.977249868
722,0,0.5
723,7,1
724,0,0.5
725,5,0.999999713
726,6,0.999999999
727,7,1
728,6,0.999999999
729,3,0.998650102
730,8,1
731,10,1
732,8,1
733,0,0.5
734,9,1
735,5,0.999999713
736,7,1
737,7,1
738,5,0.999999713
739,5,0.999999713
740,8,1
741,7,1
742,8,1
743,12,1
744,7,1
745,6,0.999999999
746,0,0.5
747,13,1
748,4,0.999968329
749,12,1
750,6,0.999999999
751,10,1
752,5,0.999999713
753,7,1
754,6,0.999999999
755,4,0.999968329
756,5,0.999999713
757,8,1
758,4,0.999968329
759,0,0.5
760,4,0.999968329
761,7,1
762,7,1
763,7,1
764,0,0.5
765,6,0.999999999
766,8,1
767,9,1
768,4,0.999968329
769,4,0.999968329
770,9,1
771,0,0.5
772,4,0.999968329
773,6,0.999999999
774,0,0.5
775,6,0.999999999
776,11,1
777,5,0.999999713
778,4,0.999968329
779,6,0.999999999
780,4,0.999968329
781,7,1
782,8,1
783,5,0.999999713
784,1,0.841344746
785,1,0.841344746
786,3,0.998650102
787,7,1
788,0,0.5
789,0,0.5
790,3,0.998650102
791,6,0.999999999
792,2,0.977249868
793,8,1
794,6,0.999999999
795,4,0.999968329
796,7,1
797,6,0.999999999
798,4,0.999968329
799,6,0.999999999
800,7,1
801,6,0.999999999
802,3,0.998650102
803,8,1
804,8,1
805,6,0.999999999
806,5,0.999999713
807,5,0.999999713
808,11,1
809,6,0.999999999
810,5,0.999999713
811,0,0.5
812,0,0.5
813,5,0.999999713
814,6,0.999999999
815,6,0.999999999
816,7,1
817,4,0.999968329
818,9,1
819,2,0.977249868
820,1,0.841344746
821,1,0.841344746
822,7,1
823,5,0.999999713
824,7,1
825,4,0.999968329
826,3,0.998650102
827,4,0.999968329
828,0,0.5
829,1,0.841344746
830,1,0.841344746
831,8,1
832,3,0.998650102
833,7,1
834,10,1
835,4,0.999968329
836,6,0.999999999
837,0,0.5
838,3,0.998650102
839,5,0.999999713
840,6,0.999999999
841,3,0.998650102
842,13,1
843,4,0.999968329
844,5,0.999999713
845,7,1
846,5,0.999999713
847,3,0.998650102
848,8,1
849,10,1
850,5,0.999999713
851,7,1
852,5,0.999999713
853,8,1
854,2,0.977249868
855,12,1
856,3,0.998650102
857,1,0.841344746
858,4,0.999968329
859,5,0.999999713
860,10,1
861,8,1
862,5,0.999999713
863,1,0.841344746
864,2,0.977249868
865,5,0.999999713
866,13,1
867,0,0.5
868,8,1
869,3,0.998650102
870,10,1
871,2,0.977249868
872,5,0.999999713
873,2,0.977249868
874,8,1
875,9,1
876,11,1
877,7,1
878,11,1
879,9,1
880,5,0.999999713
881,6,0.999999999
882,2,0.977249868
883,4,0.999968329
884,9,1
885,7,1
886,6,0.999999999
887,2,0.977249868
888,3,0.998650102
889,3,0.998650102
890,6,0.999999999
891,2,0.977249868
892,7,1
893,2,0.977249868
894,10,1
895,6,0.999999999
896,3,0.998650102
897,6,0.999999999
898,4,0.999968329
899,6,0.999999999
900,6,0.999999999
901,2,0.977249868
902,3,0.998650102
903,6,0.999999999
904,10,1
905,8,1
906,3,0.998650102
907,7,1
908,5,0.999999713
909,6,0.999999999
910,6,0.999999999
911,13,1
912,1,0.841344746
913,5,0.999999713
914,0,0.5
915,7,1
916,8,1
917,9,1
918,0,0.5
919,6,0.999999999
920,10,1
921,4,0.999968329
922,4,0.999968329
923,5,0.999999713
924,6,0.999999999
925,7,1
926,9,1
927,5,0.999999713
928,6,0.999999999
929,12,1
930,6,0.999999999
931,6,0.999999999
932,1,0.841344746
933,5,0.999999713
934,4,0.999968329
935,5,0.999999713
936,3,0.998650102
937,3,0.998650102
938,3,0.998650102
939,4,0.999968329
940,9,1
941,8,1
942,4,0.999968329
943,0,0.5
944,2,0.977249868
945,4,0.999968329
946,5,0.999999713
947,3,0.998650102
948,11,1
949,4,0.999968329
950,1,0.841344746
951,5,0.999999713
952,2,0.977249868
953,5,0.999999713
954,6,0.999999999
955,6,0.999999999
956,0,0.5
957,6,0.999999999
958,6,0.999999999
959,1,0.841344746
960,8,1
961,7,1
962,12,1
963,5,0.999999713
964,5,0.999999713
965,5,0.999999713
966,5,0.999999713
967,0,0.5
968,0,0.5
969,5,0.999999713
970,3,0.998650102
971,5,0.999999713
972,0,0.5
973,1,0.841344746
974,2,0.977249868
975,8,1
976,2,0.977249868
977,3,0.998650102
978,5,0.999999713
979,4,0.999968329
980,5,0.999999713
981,12,1
982,2,0.977249868
983,4,0.999968329
984,3,0.998650102
985,10,1
986,3,0.998650102
987,5,0.999999713
988,7,1
989,2,0.977249868
990,10,1
991,7,1
992,2,0.977249868
993,6,0.999999999
994,4,0.999968329
995,6,0.999999999
996,5,0.999999713
997,8,1
998,1,0.841344746
999,3,0.998650102
1000,4,0.999968329
1001,2,0.977249868
1002,2,0.977249868
1003,5,0.999999713
1004,5,0.999999713
1005,0,0.5
1006,8,1
1007,6,0.999999999
1008,12,1
1009,7,1
1010,4,0.999968329
1011,13,1
1012,13,1
1013,1,0.841344746
1014,6,0.999999999
1015,4,0.999968329
1016,6,0.999999999
1017,6,0.999999999
1018,1,0.841344746
1019,6,0.999999999
1020,10,1
1021,5,0.999999713
1022,5,0.999999713
1023,9,1
1024,8,1
1025,0,0.5
1026,6,0.999999999
1027,10,1
1028,9,1
1029,6,0.999999999
1030,7,1
1031,1,0.841344746
1032,6,0.999999999
1033,2,0.977249868
1034,4,0.999968329
1035,8,1
1036,2,0.977249868
1037,6,0.999999999
1038,6,0.999999999
1039,5,0.999999713
1040,10,1
1041,2,0.977249868
1042,7,1
1043,5,0.999999713
1044,4,0.999968329
1045,6,0.999999999
1046,2,0.977249868
1047,1,0.841344746
1048,4,0.999968329
1049,10,1
1050,5,0.999999713
1051,6,0.999999999
1052,4,0.999968329
1053,6,0.999999999
1054,2,0.977249868
1055,8,1
1056,7,1
1057,3,0.998650102
1058,5,0.999999713
1059,7,1
1060,7,1
1061,9,1
1062,3,0.998650102
1063,8,1
1064,8,1
1065,5,0.999999713
1066,2,0.977249868
1067,2,0.977249868
1068,6,0.999999999
1069,5,0.999999713
1070,10,1
1071,7,1
1072,4,0.999968329
1073,2,0.977249868
1074,3,0.998650102
1075,6,0.999999999
1076,4,0.999968329
1077,7,1
1078,4,0.999968329
1079,5,0.999999713
1080,3,0.998650102
1081,11,1
1082,6,0.999999999
1083,6,0.999999999
1084,0,0.5
1085,7,1
1086,2,0.977249868
1087,2,0.977249868
1088,8,1
1089,4,0.999968329
1090,0,0.5
1091,10,1
1092,0,0.5
1093,7,1
1094,8,1
1095,3,0.998650102
1096,6,0.999999999
1097,6,0.999999999
1098,8,1
1099,6,0.999999999
1100,4,0.999968329
1101,8,1
1102,7,1
1103,2,0.977249868
1104,1,0.841344746
1105,5,0.999999713
1106,4,0.999968329
1107,2,0.977249868
1108,5,0.999999713
1109,1,0.841344746
1110,5,0.999999713
1111,3,0.998650102
1112,8,1
1113,12,1
1114,2,0.977249868
1115,8,1
1116,7,1
1117,5,0.999999713
1118,4,0.999968329
1119,10,1
1120,0,0.5
1121,3,0.998650102
1122,1,0.841344746
1123,9,1
1124,4,0.999968329
1125,3,0.998650102
1126,15,1
1127,5,0.999999713
1128,4,0.999968329
1129,6,0.999999999
1130,0,0.5
1131,6,0.999999999
1132,5,0.999999713
1133,6,0.999999999
1134,2,0.977249868
1135,2,0.977249868
1136,3,0.998650102
1137,3,0.998650102
1138,9,1
1139,10,1
1140,5,0.999999713
1141,4,0.999968329
1142,4,0.999968329
1143,5,0.999999713
1144,5,0.999999713
1145,6,0.999999999
1146,3,0.998650102
1147,2,0.977249868
1148,9,1
1149,3,0.998650102
1150,6,0.999999999
1151,5,0.999999713
1152,2,0.977249868
1153,7,1
1154,6,0.999999999
1155,9,1
1156,5,0.999999713
1157,4,0.999968329
1158,6,0.999999999
1159,1,0.841344746
1160,2,0.977249868
1161,7,1
1162,4,0.999968329
1163,5,0.999999713
1164,5,0.999999713
1165,3,0.998650102
1166,0,0.5
1167,6,0.999999999
1168,7,1
1169,1,0.841344746
1170,9,1
1171,6,0.999999999
1172,9,1
1173,2,0.977249868
1174,6,0.999999999
1175,5,0.999999713
1176,7,1
1177,3,0.998650102
1178,5,0.999999713
1179,0,0.5
1180,3,0.998650102
1181,5,0.999999713
1182,3,0.998650102
1183,5,0.999999713
1184,4,0.999968329
1185,7,1
1186,9,1
1187,3,0.998650102
1188,4,0.999968329
1189,9,1
1190,0,0.5
1191,4,0.999968329
1192,11,1
1193,12,1
1194,5,0.999999713
1195,2,0.977249868
1196,5,0.999999713
1197,3,0.998650102
1198,9,1
1199,3,0.998650102
1200,6,0.999999999
1201,7,1
1202,3,0.998650102
1203,8,1
1204,3,0.998650102
1205,7,1
1206,8,1
1207,2,0.977249868
1208,8,1
1209,4,0.999968329
1210,6,0.999999999
1211,6,0.999999999
1212,4,0.999968329
1213,6,0.999999999
1214,1,0.841344746
1215,5,0.999999713
1216,7,1
1217,0,0.5
1218,1,0.841344746
1219,2,0.977249868
1220,0,0.5
1221,6,0.999999999
1222,2,0.977249868
1223,0,0.5
1224,3,0.998650102
1225,4,0.999968329
1226,8,1
1227,2,0.977249868
1228,8,1
1229,6,0.999999999
1230,6,0.999999999
1231,2,0.977249868
1232,11,1
1233,5,0.999999713
1234,0,0.5
1235,4,0.999968329
1236,0,0.5
1237,4,0.999968329
1238,4,0.999968329
1239,7,1
1240,8,1
1241,3,0.998650102
1242,7,1
1243,9,1
1244,3,0.998650102
1245,3,0.998650102
1246,7,1
1247,6,0.999999999
1248,7,1
1249,9,1
1250,6,0.999999999
1251,8,1
1252,7,1
1253,6,0.999999999
1254,6,0.999999999
1255,9,1
1256,2,0.977249868
1257,2,0.977249868
1258,7,1
1259,5,0.999999713
1260,5,0.999999713
1261,7,1
1262,7,1
1263,4,0.999968329
1264,4,0.999968329
1265,5,0.999999713
1266,8,1
1267,6,0.999999999
1268,9,1
1269,5,0.999999713
1270,8,1
1271,8,1
1272,7,1
1273,6,0.999999999
1274,4,0.999968329
1275,5,0.999999713
1276,6,0.999999999
1277,5,0.999999713
1278,8,1
1279,5,0.999999713
1280,5,0.999999713
1281,4,0.999968329
1282,5,0.999999713
1283,5,0.999999713
1284,0,0.5
1285,1,0.841344746
1286,5,0.999999713
1287,4,0.999968329
1288,1,0.841344746
1289,0,0.5
1290,4,0.999968329
1291,7,1
1292,10,1
1293,5,0.999999713
1294,9,1
1295,5,0.999999713
1296,5,0.999999713
1297,6,0.999999999
1298,2,0.977249868
1299,5,0.999999713
1300,8,1
1301,3,0.998650102
1302,4,0.999968329
1303,2,0.977249868
1304,6,0.999999999
1305,6,0.999999999
1306,7,1
1307,1,0.841344746
1308,5,0.999999713
1309,2,0.977249868
1310,5,0.999999713
1311,9,1
1312,3,0.998650102
1313,7,1
1314,3,0.998650102
1315,4,0.999968329
1316,6,0.999999999
1317,3,0.998650102
1318,0,0.5
1319,9,1
1320,6,0.999999999
1321,3,0.998650102
1322,0,0.5
1323,11,1
1324,15,1
1325,6,0.999999999
1326,8,1
1327,9,1
1328,3,0.998650102
1329,4,0.999968329
1330,0,0.5
1331,3,0.998650102
1332,7,1
1333,4,0.999968329
1334,4,0.999968329
1335,5,0.999999713
1336,0,0.5
1337,8,1
1338,1,0.841344746
1339,4,0.999968329
1340,4,0.999968329
1341,4,0.999968329
1342,9,1
1343,3,0.998650102
1344,3,0.998650102
1345,0,0.5
1346,3,0.998650102
1347,2,0.977249868
1348,6,0.999999999
1349,2,0.977249868
1350,6,0.999999999
1351,5,0.999999713
1352,1,0.841344746
1353,3,0.998650102
1354,8,1
1355,8,1
1356,11,1
1357,5,0.999999713
1358,1,0.841344746
1359,3,0.998650102
1360,6,0.999999999
1361,11,1
1362,5,0.999999713
1363,8,1
1364,7,1
1365,1,0.841344746
1366,4,0.999968329
1367,9,1
1368,8,1
1369,6,0.999999999
1370,6,0.999999999
1371,4,0.999968329
1372,1,0.841344746
1373,9,1
1374,1,0.841344746
1375,2,0.977249868
1376,7,1
1377,1,0.841344746
1378,3,0.998650102
1379,1,0.841344746
1380,7,1
1381,6,0.999999999
1382,6,0.999999999
1383,6,0.999999999
1384,7,1
1385,7,1
1386,0,0.5
1387,5,0.999999713
1388,5,0.999999713
1389,7,1
1390,1,0.841344746
1391,4,0.999968329
1392,2,0.977249868
1393,8,1
1394,9,1
1395,7,1
1396,1,0.841344746
1397,6,0.999999999
1398,8,1
1399,6,0.999999999
1400,3,0.998650102
1401,2,0.977249868
1402,3,0.998650102
1403,7,1
1404,4,0.999968329
1405,6,0.999999999
1406,9,1
1407,7,1
1408,9,1
1409,0,0.5
1410,4,0.999968329
1411,5,0.999999713
1412,7,1
1413,1,0.841344746
1414,7,1
1415,6,0.999999999
1416,6,0.999999999
1417,7,1
1418,5,0.999999713
1419,8,1
1420,7,1
1421,5,0.999999713
1422,8,1
1423,6,0.999999999
1424,7,1
1425,3,0.998650102
1426,10,1
1427,5,0.999999713
1428,8,1
1429,5,0.999999713
1430,4,0.999968329
1431,7,1
1432,0,0.5
1433,6,0.999999999
1434,6,0.999999999
1435,0,0.5
1436,6,0.999999999
1437,0,0.5
1438,7,1
1439,4,0.999968329
1440,3,0.998650102
1441,5,0.999999713
1442,9,1
1443,3,0.998650102
1444,7,1
1445,6,0.999999999
1446,1,0.841344746
1447,0,0.5
1448,0,0.5
1449,7,1
1450,5,0.999999713
1451,11,1
1452,7,1
1453,8,1
1454,9,1
1455,3,0.998650102
1456,7,1
1457,8,1
1458,9,1
1459,7,1
1460,6,0.999999999
1461,2,0.977249868
1462,7,1
1463,7,1
1464,7,1
1465,6,0.999999999
1466,4,0.999968329
1467,5,0.999999713
1468,7,1
1469,6,0.999999999
1470,3,0.998650102
1471,4,0.999968329
1472,1,0.841344746
1473,2,0.977249868
1474,5,0.999999713
1475,0,0.5
1476,0,0.5
1477,8,1
1478,3,0.998650102
1479,0,0.5
1480,5,0.999999713
1481,9,1
1482,7,1
1483,6,0.999999999
1484,9,1
1485,3,0.998650102
1486,7,1
1487,3,0.998650102
1488,5,0.999999713
1489,12,1
1490,8,1
1491,7,1
1492,2,0.977249868
1493,3,0.998650102
1494,12,1
1495,2,0.977249868
1496,6,0.999999999
1497,8,1
1498,8,1
1499,8,1
1500,5,0.999999713
1501,3,0.998650102
1502,4,0.999968329
1503,2,0.977249868
1504,7,1
1505,8,1
1506,11,1
1507,6,0.999999999
1508,2,0.977249868
1509,8,1
1510,8,1
1511,4,0.999968329
1512,0,0.5
1513,7,1
1514,8,1
1515,4,0.999968329
1516,7,1
1517,4,0.999968329
1518,7,1
1519,5,0.999999713
1520,4,0.999968329
1521,5,0.999999713
1522,4,0.999968329
1523,3,0.998650102
1524,4,0.999968329
1525,5,0.999999713
1526,6,0.999999999
1527,10,1
1528,1,0.841344746
1529,4,0.999968329
1530,7,1
1531,10,1
1532,6,0.999999999
1533,5,0.999999713
1534,4,0.999968329
1535,6,0.999999999
1536,8,1
1537,4,0.999968329
1538,5,0.999999713
1539,6,0.999999999
1540,7,1
1541,8,1
1542,6,0.999999999
1543,5,0.999999713
1544,9,1
1545,5,0.999999713
1546,10,1
1547,5,0.999999713
1548,7,1
1549,0,0.5
1550,5,0.999999713
1551,5,0.999999713
1552,3,0.998650102
1553,2,0.977249868
1554,8,1
1555,8,1
1556,1,0.841344746
